id,location_name,experience,safety_level
1,Peshwe Udyan Zoo,Scenic and tranquil,3
2,Shinde Chhatri,Very spiritual and peaceful,1
3,Rajiv Gandhi Zoological Park,Developing area,3
4,Empress Garden,Rich historical significance,3
5,Saras Baug,Amazing variety of animals,2
6,Hong Kong Lane,Very spiritual and peaceful,3
7,Tathawade Park,Beautiful garden with a serene atmosphere,3
8,Peshwe Udyan Zoo,Very spiritual and peaceful,3
9,Shaniwar Wada,Family-friendly,3
10,Mahatma Phule Mandai,Busy and bustling,1
11,Saras Baug,Busy and bustling,1
12,Bund Garden,Rich historical significance,3
13,Kasba Ganpati Temple,Well-connected,1
14,Tathawade Park,Scenic and tranquil,1
15,Empress Garden,Beautiful garden with a serene atmosphere,1
16,Lal Mahal,Developing area,5
17,Shinde Chhatri,Very spiritual and peaceful,4
18,Sambhaji Park,Great for shopping,2
19,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,4
20,Osho Ashram,Rich historical significance,4
21,Shunyo Park,Rich historical significance,1
22,Peshwe Udyan Zoo,Beautiful garden with a serene atmosphere,4
23,Chaturshringi Temple,Family-friendly,2
24,Parvati Hill Temple,Family-friendly,3
25,Pataleshwar Cave Temple,Very spiritual and peaceful,2
26,Kamala Nehru Park,Busy and bustling,3
27,Shinde Chhatri,Developing area,2
28,Shinde Chhatri,Well-connected,4
29,Mulshi Lake and Dam,Great for shopping,1
30,Pataleshwar Cave Temple,Rich historical significance,5
31,Hong Kong Lane,Very spiritual and peaceful,3
32,Saras Baug,Beautiful garden with a serene atmosphere,2
33,Vishrambaug Wada,Developing area,2
34,Tulsi Baug,Beautiful garden with a serene atmosphere,4
35,Mulshi Lake and Dam,Great for shopping,1
36,Sambhaji Park,Well-connected,3
37,Osho Ashram,Scenic and tranquil,3
38,Empress Garden,Rich historical significance,3
39,Peshwa Udyan,Very spiritual and peaceful,4
40,Tulsi Baug,Beautiful garden with a serene atmosphere,1
41,Saras Baug,Family-friendly,2
42,Sinhagad Fort,Well-connected,3
43,Peshwa Udyan,Busy and bustling,2
44,Lal Mahal,Busy and bustling,3
45,Raja Dinkar Kelkar Museum,Very spiritual and peaceful,5
46,Chaturshringi Temple,Developing area,1
47,Pune Okayama Friendship Garden,Family-friendly,5
48,Kasba Ganpati Temple,Very spiritual and peaceful,5
49,Mahatma Phule Mandai,Family-friendly,3
50,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,3
51,Osho Ashram,Beautiful garden with a serene atmosphere,4
52,Osho Ashram,Rich historical significance,2
53,Fashion Street,Amazing variety of animals,1
54,Osho Ashram,Beautiful garden with a serene atmosphere,1
55,Fashion Street,Well-connected,1
56,Kamala Nehru Park,Family-friendly,1
57,Hong Kong Lane,Rich historical significance,2
58,Bund Garden,Amazing variety of animals,1
59,Empress Garden,Beautiful garden with a serene atmosphere,5
60,Tathawade Park,Beautiful garden with a serene atmosphere,4
61,Saras Baug,Well-connected,5
62,Osho Ashram,Rich historical significance,1
63,Chaturshringi Temple,Family-friendly,2
64,Mulshi Lake and Dam,Amazing variety of animals,2
65,Kamala Nehru Park,Well-connected,5
66,Aga Khan Palace,Well-connected,2
67,Saras Baug,Very spiritual and peaceful,1
68,Fashion Street,Scenic and tranquil,1
69,Tathawade Park,Great for shopping,4
70,Shaniwar Wada,Rich historical significance,4
71,Empress Garden,Well-connected,1
72,Laxmi Road,Family-friendly,5
73,Osho Ashram,Great for shopping,3
74,Hong Kong Lane,Beautiful garden with a serene atmosphere,3
75,Pune Okayama Friendship Garden,Great for shopping,3
76,Mulshi Lake and Dam,Well-connected,3
77,Raja Dinkar Kelkar Museum,Rich historical significance,1
78,Vishrambaug Wada,Scenic and tranquil,1
79,Raja Dinkar Kelkar Museum,Family-friendly,4
80,Baner Pashan Biodiversity Park,Family-friendly,4
81,Rajiv Gandhi Zoological Park,Developing area,1
82,Laxmi Road,Well-connected,3
83,Saras Baug,Rich historical significance,5
84,Vishrambaug Wada,Rich historical significance,5
85,Mahatma Phule Mandai,Well-connected,5
86,Chaturshringi Temple,Great for shopping,3
87,Empress Garden,Well-connected,5
88,Rajiv Gandhi Zoological Park,Rich historical significance,4
89,Kamala Nehru Park,Busy and bustling,5
90,Fashion Street,Rich historical significance,5
91,Shaniwar Wada,Developing area,1
92,Laxmi Road,Scenic and tranquil,5
93,Lal Mahal,Great for shopping,1
94,Fashion Street,Scenic and tranquil,5
95,Sinhagad Fort,Family-friendly,3
96,Katraj Snake Park,Amazing variety of animals,3
97,Tathawade Park,Family-friendly,1
98,Sinhagad Fort,Busy and bustling,3
