Address,Latitude,Longitude
Peshwe Udyan Zoo,,
Shinde Chhatri,18.491630999999998,73.8972699991211
Rajiv Gandhi Zoological Park,,
Empress Garden,49.149236200000004,-123.13610263263534
Saras Baug,19.044266800000003,72.914934157498
Hong Kong Lane,53.4614615,-1.4658584278402367
Tathawade Park,18.493308550000002,73.82731827484824
Shaniwar Wada,18.51938255,73.85535656171828
Mahatma Phule Mandai,18.5129178,73.85629516991823
Bund Garden,18.5405933,73.8834394
Kasba Ganpati Temple,18.5153055,73.8477706
Lal Mahal,26.9925078,77.5890115
Sambhaji Park,18.5206664,73.8472146
Osho Ashram,18.5369163,73.88860147636468
Shunyo Park,,
Chaturshringi Temple,,
Parvati Hill Temple,,
Pataleshwar Cave Temple,18.5269463,73.8498456
Kamala Nehru Park,18.955019999999998,72.80506346125877
Mulshi Lake and Dam,,
Vishrambaug Wada,18.513848600000003,73.85342750492394
Tulsi Baug,21.13907265,79.11063485336459
Peshwa Udyan,,
Sinhagad Fort,18.36472045,73.75751103330059
Raja Dinkar Kelkar Museum,18.510766949999997,73.85444202387447
Pune Okayama Friendship Garden,18.4910844,73.8381503
Fashion Street,51.518437922443496,-0.07287266330185631
Aga Khan Palace,18.55232925,73.90147848206125
Laxmi Road,18.515669818435605,73.8699411791496
Baner Pashan Biodiversity Park,,
Katraj Snake Park,18.4529964,73.86122763735301
Dagdusheth Halwai Ganpati Temple,,
Baner,18.5642431,73.7768573
Deccan Gymkhana,18.5158926,73.84116
Pashan,18.5386704,73.7952542
Kharadi,18.5512763,73.9416575
Aundh,18.5618834,73.8101957
Bibwewadi,18.474415649999997,73.86044434124423
Hadapsar,18.5007741,73.9379146
Koregaon Park,18.536622549999997,73.8932737933634
Magarpatta,18.5111545,73.92738227328095
Kothrud,18.5038889,73.807673
Bavdhan,18.5209541,73.7780873
Swargate,18.500494850000003,73.85290370572457
Camp,32.9723128,-94.9852858
Dhankawadi,18.4652208,73.8495579
Hinjewadi,18.592178699999998,73.68411586551532
Shivaji Nagar,25.88455445,86.03985031384562
Pimple Saudagar,18.5981553,73.7977661
Viman Nagar,17.4467567,78.4838203
Wakad,18.6022495,73.7644454
Yerawada,18.5656319,73.8865762
