id,location name,lat,lon,experience,addresstype,police_station_nearby,is_crowdy,crime_records_severe,safety_level
1,Peshwe Udyan Zoo,18.503622,73.851932,Scenic and tranquil,,FALSE,TRUE,FALSE,3
2,Shinde Chhatri,18.491631,73.89727,Very spiritual and peaceful,,FALSE,TRUE,FALSE,1
3,Rajiv Gandhi Zoological Park,18.452488,73.860802,Developing area,,TRUE,TRUE,FALSE,3
4,Empress Garden,49.1492362,-123.1361026,Rich historical significance,,TRUE,FALSE,TRUE,3
5,Saras Baug,19.0442668,72.91493416,Amazing variety of animals,,FALSE,FALSE,FALSE,2
6,Hong Kong Lane,53.4614615,-1.465858428,Very spiritual and peaceful,,FALSE,TRUE,TRUE,3
7,Tathawade Park,18.49330855,73.82731827,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,3
8,Peshwe Udyan Zoo,18.503622,73.851932,Very spiritual and peaceful,,TRUE,TRUE,TRUE,3
9,Shaniwar Wada,18.51938255,73.85535656,Family-friendly,,TRUE,FALSE,TRUE,3
10,Mahatma Phule Mandai,18.5129178,73.85629517,Busy and bustling,,TRUE,FALSE,TRUE,1
11,Saras Baug,19.0442668,72.91493416,Busy and bustling,,TRUE,FALSE,TRUE,1
12,Bund Garden,18.5405933,73.8834394,Rich historical significance,,FALSE,FALSE,FALSE,3
13,Kasba Ganpati Temple,18.5153055,73.8477706,Well-connected,,FALSE,TRUE,TRUE,1
14,Tathawade Park,18.49330855,73.82731827,Scenic and tranquil,,FALSE,FALSE,TRUE,1
15,Empress Garden,49.1492362,-123.1361026,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,1
16,Lal Mahal,26.9925078,77.5890115,Developing area,,TRUE,FALSE,FALSE,5
17,Shinde Chhatri,18.491631,73.89727,Very spiritual and peaceful,,TRUE,TRUE,FALSE,4
18,Sambhaji Park,18.5206664,73.8472146,Great for shopping,,TRUE,TRUE,TRUE,2
19,Rajiv Gandhi Zoological Park,18.452488,73.860802,Very spiritual and peaceful,,FALSE,TRUE,TRUE,4
20,Osho Ashram,18.5369163,73.88860148,Rich historical significance,,FALSE,FALSE,TRUE,4
21,Shunyo Park,18.536615,73.890137,Rich historical significance,,FALSE,TRUE,TRUE,1
22,Peshwe Udyan Zoo,18.503622,73.851932,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,4
23,Chaturshringi Temple,18.533342,73.829956,Family-friendly,,TRUE,TRUE,TRUE,2
24,Parvati Hill Temple,18.497601,73.847099,Family-friendly,,FALSE,FALSE,FALSE,3
25,Pataleshwar Cave Temple,18.5269463,73.8498456,Very spiritual and peaceful,,FALSE,FALSE,TRUE,2
26,Kamala Nehru Park,18.95502,72.80506346,Busy and bustling,,FALSE,FALSE,FALSE,3
27,Shinde Chhatri,18.491631,73.89727,Developing area,,FALSE,FALSE,TRUE,2
28,Shinde Chhatri,18.491631,73.89727,Well-connected,,FALSE,FALSE,FALSE,4
29,Mulshi Lake and Dam,18.530325,73.51121,Great for shopping,,FALSE,FALSE,TRUE,1
30,Pataleshwar Cave Temple,18.5269463,73.8498456,Rich historical significance,,FALSE,TRUE,TRUE,5
31,Hong Kong Lane,53.4614615,-1.465858428,Very spiritual and peaceful,,TRUE,TRUE,TRUE,3
32,Saras Baug,19.0442668,72.91493416,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,2
33,Vishrambaug Wada,18.5138486,73.8534275,Developing area,,TRUE,TRUE,TRUE,2
34,Tulsi Baug,21.13907265,79.11063485,Beautiful garden with a serene atmosphere,,TRUE,TRUE,TRUE,4
35,Mulshi Lake and Dam,18.530325,73.51121,Great for shopping,,FALSE,TRUE,FALSE,1
36,Sambhaji Park,18.5206664,73.8472146,Well-connected,,FALSE,FALSE,FALSE,3
37,Osho Ashram,18.5369163,73.88860148,Scenic and tranquil,,FALSE,TRUE,FALSE,3
38,Empress Garden,49.1492362,-123.1361026,Rich historical significance,,TRUE,FALSE,TRUE,3
39,Peshwa Udyan,18.503622,73.851932,Very spiritual and peaceful,,TRUE,TRUE,FALSE,4
40,Tulsi Baug,21.13907265,79.11063485,Beautiful garden with a serene atmosphere,,TRUE,FALSE,FALSE,1
41,Saras Baug,19.0442668,72.91493416,Family-friendly,,TRUE,FALSE,FALSE,2
42,Sinhagad Fort,18.36472045,73.75751103,Well-connected,,TRUE,FALSE,TRUE,3
43,Peshwa Udyan,18.503622,73.851932,Busy and bustling,,FALSE,FALSE,FALSE,2
44,Lal Mahal,26.9925078,77.5890115,Busy and bustling,,TRUE,TRUE,TRUE,3
45,Raja Dinkar Kelkar Museum,18.51076695,73.85444202,Very spiritual and peaceful,,TRUE,FALSE,TRUE,5
46,Chaturshringi Temple,18.533342,73.829956,Developing area,,FALSE,TRUE,TRUE,1
47,Pune Okayama Friendship Garden,18.4910844,73.8381503,Family-friendly,,TRUE,TRUE,TRUE,5
48,Kasba Ganpati Temple,18.5153055,73.8477706,Very spiritual and peaceful,,TRUE,TRUE,TRUE,5
49,Mahatma Phule Mandai,18.5129178,73.85629517,Family-friendly,,TRUE,TRUE,FALSE,3
50,Rajiv Gandhi Zoological Park,18.452488,73.860802,Very spiritual and peaceful,,FALSE,TRUE,FALSE,3
51,Osho Ashram,18.5369163,73.88860148,Beautiful garden with a serene atmosphere,,TRUE,FALSE,TRUE,4
52,Osho Ashram,18.5369163,73.88860148,Rich historical significance,,FALSE,FALSE,FALSE,2
53,Fashion Street,51.51843792,-0.072872663,Amazing variety of animals,,FALSE,TRUE,FALSE,1
54,Osho Ashram,18.5369163,73.88860148,Beautiful garden with a serene atmosphere,,FALSE,TRUE,TRUE,1
55,Fashion Street,51.51843792,-0.072872663,Well-connected,,FALSE,FALSE,FALSE,1
56,Kamala Nehru Park,18.95502,72.80506346,Family-friendly,,TRUE,TRUE,TRUE,1
57,Hong Kong Lane,53.4614615,-1.465858428,Rich historical significance,,FALSE,FALSE,TRUE,2
58,Bund Garden,18.5405933,73.8834394,Amazing variety of animals,,TRUE,FALSE,TRUE,1
59,Empress Garden,49.1492362,-123.1361026,Beautiful garden with a serene atmosphere,,FALSE,FALSE,TRUE,5
60,Tathawade Park,18.49330855,73.82731827,Beautiful garden with a serene atmosphere,,FALSE,TRUE,FALSE,4
61,Saras Baug,19.0442668,72.91493416,Well-connected,,FALSE,FALSE,FALSE,5
62,Osho Ashram,18.5369163,73.88860148,Rich historical significance,,TRUE,TRUE,FALSE,1
63,Chaturshringi Temple,18.533342,73.829956,Family-friendly,,FALSE,TRUE,FALSE,2
64,Mulshi Lake and Dam,18.530325,73.51121,Amazing variety of animals,,FALSE,TRUE,FALSE,2
65,Kamala Nehru Park,18.95502,72.80506346,Well-connected,,FALSE,FALSE,FALSE,5
66,Aga Khan Palace,18.55232925,73.90147848,Well-connected,,FALSE,TRUE,FALSE,2
67,Saras Baug,19.0442668,72.91493416,Very spiritual and peaceful,,TRUE,TRUE,FALSE,1
